Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637164374,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637164375,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,87,193.0,87,299,5812.0
1637164375,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,97,97.0,97,97,1974.0
1637164375,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,31,31.0,31,31,2961.0
1637164375,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,194,194.0,194,194,2032.0
1637164375,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,172,172.0,172,172,10010.0
1637164375,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,97,146.66666666666666,31,299,4766.833333333333
1637164376,1,GET,/,0.000000,0.000000,160,160,240,240,240,240,240,240,240,240,240,5,0,160,189.4,87,299,3544.0
1637164376,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,97,130.0,97,163,1974.0
1637164376,1,GET,/auth/login/,0.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,1,0,31,31.0,31,31,2961.0
1637164376,1,POST,/auth/login/,0.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,194,194.0,194,194,2032.0
1637164376,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,202,202.0,202,202,1713.0
1637164376,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,172,172.0,172,172,10010.0
1637164376,1,,Aggregated,0.000000,0.000000,160,170,200,200,240,240,240,240,240,240,240,11,0,160,164.1818181818182,31,299,3489.4545454545455
1637164377,1,GET,/,1.000000,0.000000,160,160,240,240,240,240,240,240,240,240,240,5,0,160,189.4,87,299,3544.0
1637164377,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1074,1074.0,1074,1074,2166.0
1637164377,1,GET,/auth/find-friends/,0.000000,0.000000,160,160,160,160,160,160,160,160,160,160,160,2,0,97,130.0,97,163,1974.0
1637164377,1,GET,/auth/login/,1.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,1,0,31,31.0,31,31,2961.0
1637164377,1,POST,/auth/login/,1.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,194,194.0,194,194,2032.0
1637164377,1,POST,/auth/modify-friend/,0.000000,0.000000,200,200,200,200,200,200,200,200,200,200,200,1,0,202,202.0,202,202,1713.0
1637164377,1,GET,/public/,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,1,0,172,172.0,172,172,10010.0
1637164377,1,,Aggregated,3.000000,0.000000,160,170,200,240,1100,1100,1100,1100,1100,1100,1100,12,0,160,240.0,31,1074,3379.1666666666665
1637164378,1,GET,/,1.500000,0.000000,160,160,240,240,240,240,240,240,240,240,240,5,0,160,189.4,87,299,3544.0
1637164378,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1074,1074.0,1074,1074,2166.0
1637164378,1,GET,/auth/find-friends/,1.000000,0.000000,210,210,300,300,300,300,300,300,300,300,300,4,0,160,192.0,97,300,1974.0
1637164378,1,GET,/auth/login/,0.500000,0.000000,31,31,31,31,31,31,31,31,31,31,31,1,0,31,31.0,31,31,2961.0
1637164378,1,POST,/auth/login/,0.500000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,194,194.0,194,194,2032.0
1637164378,1,POST,/auth/modify-friend/,0.500000,0.000000,260,260,260,260,260,260,260,260,260,260,260,2,0,202,232.0,202,262,1713.0
1637164378,1,GET,/public/,0.500000,0.000000,310,310,310,310,310,310,310,310,310,310,310,2,0,172,240.5,172,309,10147.5
1637164378,1,,Aggregated,4.500000,0.000000,200,240,260,300,310,1100,1100,1100,1100,1100,1100,16,0,190,247.4375,31,1074,3531.0
1637164379,1,GET,/,1.666667,0.000000,150,160,160,240,240,240,240,240,240,240,240,6,0,150,177.66666666666666,87,299,3314.3333333333335
1637164379,1,POST,/,0.000000,0.000000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1,0,1074,1074.0,1074,1074,2166.0
1637164379,1,GET,/auth/find-friends/,0.666667,0.000000,97,160,210,210,300,300,300,300,300,300,300,8,0,83,137.0,81,300,1974.0
1637164379,1,GET,/auth/login/,0.333333,0.000000,31,31,31,31,31,31,31,31,31,31,31,1,0,31,31.0,31,31,2961.0
1637164379,1,POST,/auth/login/,0.333333,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,194,194.0,194,194,2032.0
1637164379,1,POST,/auth/modify-friend/,0.333333,0.000000,200,200,260,260,260,260,260,260,260,260,260,4,0,120,173.5,115,262,1713.0
1637164379,1,GET,/public/,0.333333,0.000000,170,170,310,310,310,310,310,310,310,310,310,4,0,170,202.75,164,309,10178.5
1637164379,1,,Aggregated,3.666667,0.000000,160,170,210,240,300,310,1100,1100,1100,1100,1100,25,0,160,198.64,31,1074,3616.12
1637164380,1,GET,/,1.250000,0.000000,150,160,160,240,240,240,240,240,240,240,240,6,0,150,177.66666666666666,87,299,3314.3333333333335
1637164380,1,POST,/,0.250000,0.000000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1,0,1074,1074.0,1074,1074,2166.0
1637164380,1,GET,/auth/find-friends/,0.750000,0.000000,160,210,210,240,300,300,300,300,300,300,300,10,0,97,154.0,81,300,1974.0
1637164380,1,GET,/auth/login/,0.250000,0.000000,31,31,31,31,31,31,31,31,31,31,31,1,0,31,31.0,31,31,2961.0
1637164380,1,POST,/auth/login/,0.250000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,194,194.0,194,194,2032.0
1637164380,1,POST,/auth/modify-friend/,0.250000,0.000000,200,200,200,260,260,260,260,260,260,260,260,5,0,200,178.8,115,262,1713.0
