Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637164371,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637164372,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,86,267.0,86,448,2790.0
1637164372,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,25,25.0,25,25,2961.0
1637164372,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,274,274.0,274,274,2032.0
1637164372,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,13,13.0,13,13,1712.0
1637164372,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,86,169.2,13,448,2457.0
1637164373,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,86,267.0,86,448,2790.0
1637164373,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,25,25.0,25,25,2961.0
1637164373,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,274,274.0,274,274,2032.0
1637164373,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,13,13.0,13,13,1712.0
1637164373,1,,Aggregated,0.000000,0.000000,86,270,270,450,450,450,450,450,450,450,450,5,0,86,169.2,13,448,2457.0
1637164374,1,GET,/,0.000000,0.000000,450,450,450,450,450,450,450,450,450,450,450,2,0,86,267.0,86,448,2790.0
1637164374,1,GET,/auth/login/,0.000000,0.000000,25,25,25,25,25,25,25,25,25,25,25,1,0,25,25.0,25,25,2961.0
1637164374,1,POST,/auth/login/,0.000000,0.000000,280,280,280,280,280,280,280,280,280,280,280,2,0,274,276.5,274,279,2032.0
1637164374,1,GET,/auth/logout/,0.000000,0.000000,11,11,11,11,11,11,11,11,11,11,11,2,0,11,12.0,11,13,1712.0
1637164374,1,,Aggregated,0.000000,0.000000,86,270,280,280,450,450,450,450,450,450,450,7,0,86,162.28571428571428,11,448,2289.8571428571427
1637164375,1,GET,/,1.000000,0.000000,86,86,450,450,450,450,450,450,450,450,450,3,0,86,200.0,66,448,2537.3333333333335
1637164375,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,390,390.0,390,390,2159.0
1637164375,1,GET,/auth/login/,0.500000,0.000000,25,25,25,25,25,25,25,25,25,25,25,1,0,25,25.0,25,25,2961.0
1637164375,1,POST,/auth/login/,0.500000,0.000000,280,280,280,280,280,280,280,280,280,280,280,3,0,270,218.66666666666666,103,279,2032.0
1637164375,1,GET,/auth/logout/,0.500000,0.000000,11,11,11,11,11,11,11,11,11,11,11,3,0,11,11.0,9,13,1712.0
1637164375,1,,Aggregated,2.500000,0.000000,86,270,280,280,390,450,450,450,450,450,450,11,0,86,154.9090909090909,9,448,2178.5454545454545
1637164376,1,GET,/,0.666667,0.000000,94,94,450,450,450,450,450,450,450,450,450,4,0,86,173.5,66,448,2442.75
1637164376,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,390,390.0,390,390,2159.0
